MON,TUE,WED,THU,FRI,SAT,SUN
Rest,3 m run,3 m run,3 m run,Rest,6,Cross
Rest,3 m run,3 m run,3 m run,Rest,7,Cross
Rest,3 m run,4 m run,3 m run,Rest,5,Cross
Rest,3 m run,4 m run,3 m run,Rest,9,Cross
Rest,3 m run,5 m run,3 m run,Rest,10,Cross
Rest,3 m run,5 m run,3 m run,Rest,7,Cross
Rest,3 m run,6 m run,3 m run,Rest,12,Cross
Rest,3 m run,6 m run,3 m run,Rest,Rest,Half Marathon
Rest,3 m run,7 m run,4 m run,Rest,10,Cross
Rest,3 m run,7 m run,4 m run,Rest,15,Cross
Rest,4 m run,8 m run,4 m run,Rest,16,Cross
Rest,4 m run,8 m run,5 m run,Rest,12,Cross
Rest,4 m run,9 m run,5 m run,Rest,18,Cross
Rest,5 m run,9 m run,5 m run,Rest,14,Cross
Rest,5 m run,10 m run,5 m run,Rest,20,Cross
Rest,5 m run,8 m run,4 m run,Rest,12,Cross
Rest,4 m run,6 m run,3 m run,Rest,8,Cross
Rest,3 m run,4 m run,2 m run,Rest,Rest,Marathon
