Subject,Start Date,All Day Event,Start Time,End Time,Location,Description
Cross,2018-03-26,true,"","","",""
3 m run,2018-03-27,true,"","","",""
5 m run,2018-03-28,true,"","","",""
3 m run,2018-03-29,true,"","","",""
Rest,2018-03-30,true,"","","",""
5 m pace,2018-03-31,true,"","","",""
8,2018-04-01,true,"","","",""
Cross,2018-04-02,true,"","","",""
3 m run,2018-04-03,true,"","","",""
5 m run,2018-04-04,true,"","","",""
3 m run,2018-04-05,true,"","","",""
Rest,2018-04-06,true,"","","",""
5 m run,2018-04-07,true,"","","",""
9,2018-04-08,true,"","","",""
Cross,2018-04-09,true,"","","",""
3 m run,2018-04-10,true,"","","",""
5 m run,2018-04-11,true,"","","",""
3 m run,2018-04-12,true,"","","",""
Rest,2018-04-13,true,"","","",""
5 m pace,2018-04-14,true,"","","",""
6,2018-04-15,true,"","","",""
Cross,2018-04-16,true,"","","",""
3 m run,2018-04-17,true,"","","",""
6 m run,2018-04-18,true,"","","",""
3 m run,2018-04-19,true,"","","",""
Rest,2018-04-20,true,"","","",""
6 m pace,2018-04-21,true,"","","",""
11,2018-04-22,true,"","","",""
Cross,2018-04-23,true,"","","",""
3 m run,2018-04-24,true,"","","",""
6 m run,2018-04-25,true,"","","",""
3 m run,2018-04-26,true,"","","",""
Rest,2018-04-27,true,"","","",""
6 m run,2018-04-28,true,"","","",""
12,2018-04-29,true,"","","",""
Cross,2018-04-30,true,"","","",""
3 m run,2018-05-01,true,"","","",""
5 m run,2018-05-02,true,"","","",""
3 m run,2018-05-03,true,"","","",""
Rest,2018-05-04,true,"","","",""
6 m pace,2018-05-05,true,"","","",""
9,2018-05-06,true,"","","",""
Cross,2018-05-07,true,"","","",""
4 m run,2018-05-08,true,"","","",""
7 m run,2018-05-09,true,"","","",""
4 m run,2018-05-10,true,"","","",""
Rest,2018-05-11,true,"","","",""
7 m pace,2018-05-12,true,"","","",""
14,2018-05-13,true,"","","",""
Cross,2018-05-14,true,"","","",""
4 m run,2018-05-15,true,"","","",""
7 m run,2018-05-16,true,"","","",""
4 m run,2018-05-17,true,"","","",""
Rest,2018-05-18,true,"","","",""
7 m run,2018-05-19,true,"","","",""
15,2018-05-20,true,"","","",""
Cross,2018-05-21,true,"","","",""
4 m run,2018-05-22,true,"","","",""
5 m run,2018-05-23,true,"","","",""
4 m run,2018-05-24,true,"","","",""
Rest,2018-05-25,true,"","","",""
Rest,2018-05-26,true,"","","",""
Half Marathon,2018-05-27,true,"","","",""
Cross,2018-05-28,true,"","","",""
4 m run,2018-05-29,true,"","","",""
8 m run,2018-05-30,true,"","","",""
4 m run,2018-05-31,true,"","","",""
Rest,2018-06-01,true,"","","",""
8 m pace,2018-06-02,true,"","","",""
17,2018-06-03,true,"","","",""
Cross,2018-06-04,true,"","","",""
5 m run,2018-06-05,true,"","","",""
8 m run,2018-06-06,true,"","","",""
5 m run,2018-06-07,true,"","","",""
Rest,2018-06-08,true,"","","",""
8 m run,2018-06-09,true,"","","",""
18,2018-06-10,true,"","","",""
Cross,2018-06-11,true,"","","",""
5 m run,2018-06-12,true,"","","",""
5 m run,2018-06-13,true,"","","",""
5 m run,2018-06-14,true,"","","",""
Rest,2018-06-15,true,"","","",""
8 m pace,2018-06-16,true,"","","",""
13,2018-06-17,true,"","","",""
Cross,2018-06-18,true,"","","",""
5 m run,2018-06-19,true,"","","",""
8 m run,2018-06-20,true,"","","",""
5 m run,2018-06-21,true,"","","",""
Rest,2018-06-22,true,"","","",""
5 m pace,2018-06-23,true,"","","",""
20,2018-06-24,true,"","","",""
Cross,2018-06-25,true,"","","",""
5 m run,2018-06-26,true,"","","",""
5 m run,2018-06-27,true,"","","",""
5 m run,2018-06-28,true,"","","",""
Rest,2018-06-29,true,"","","",""
8 m run,2018-06-30,true,"","","",""
12,2018-07-01,true,"","","",""
Cross,2018-07-02,true,"","","",""
5 m run,2018-07-03,true,"","","",""
8 m run,2018-07-04,true,"","","",""
5 m run,2018-07-05,true,"","","",""
Rest,2018-07-06,true,"","","",""
5 m pace,2018-07-07,true,"","","",""
20,2018-07-08,true,"","","",""
Cross,2018-07-09,true,"","","",""
5 m run,2018-07-10,true,"","","",""
6 m run,2018-07-11,true,"","","",""
5 m run,2018-07-12,true,"","","",""
Rest,2018-07-13,true,"","","",""
4 m pace,2018-07-14,true,"","","",""
12,2018-07-15,true,"","","",""
Cross,2018-07-16,true,"","","",""
4 m run,2018-07-17,true,"","","",""
5 m run,2018-07-18,true,"","","",""
4 m run,2018-07-19,true,"","","",""
Rest,2018-07-20,true,"","","",""
3 m run,2018-07-21,true,"","","",""
8,2018-07-22,true,"","","",""
Cross,2018-07-23,true,"","","",""
3 m run,2018-07-24,true,"","","",""
4 m run,2018-07-25,true,"","","",""
Rest,2018-07-26,true,"","","",""
Rest,2018-07-27,true,"","","",""
2 m run,2018-07-28,true,"","","",""
Marathon,2018-07-29,true,"","","",""
