Subject,Start Date,All Day Event,Start Time,End Time,Location,Description
Rest,2017-11-13,true,"","","",""
3 m run,2017-11-14,true,"","","",""
3 m run,2017-11-15,true,"","","",""
3 m run,2017-11-16,true,"","","",""
Rest,2017-11-17,true,"","","",""
6,2017-11-18,true,"","","",""
Cross,2017-11-19,true,"","","",""
Rest,2017-11-20,true,"","","",""
3 m run,2017-11-21,true,"","","",""
3 m run,2017-11-22,true,"","","",""
3 m run,2017-11-23,true,"","","",""
Rest,2017-11-24,true,"","","",""
7,2017-11-25,true,"","","",""
Cross,2017-11-26,true,"","","",""
Rest,2017-11-27,true,"","","",""
3 m run,2017-11-28,true,"","","",""
4 m run,2017-11-29,true,"","","",""
3 m run,2017-11-30,true,"","","",""
Rest,2017-12-01,true,"","","",""
5,2017-12-02,true,"","","",""
Cross,2017-12-03,true,"","","",""
Rest,2017-12-04,true,"","","",""
3 m run,2017-12-05,true,"","","",""
4 m run,2017-12-06,true,"","","",""
3 m run,2017-12-07,true,"","","",""
Rest,2017-12-08,true,"","","",""
9,2017-12-09,true,"","","",""
Cross,2017-12-10,true,"","","",""
Rest,2017-12-11,true,"","","",""
3 m run,2017-12-12,true,"","","",""
5 m run,2017-12-13,true,"","","",""
3 m run,2017-12-14,true,"","","",""
Rest,2017-12-15,true,"","","",""
10,2017-12-16,true,"","","",""
Cross,2017-12-17,true,"","","",""
Rest,2017-12-18,true,"","","",""
3 m run,2017-12-19,true,"","","",""
5 m run,2017-12-20,true,"","","",""
3 m run,2017-12-21,true,"","","",""
Rest,2017-12-22,true,"","","",""
7,2017-12-23,true,"","","",""
Cross,2017-12-24,true,"","","",""
Rest,2017-12-25,true,"","","",""
3 m run,2017-12-26,true,"","","",""
6 m run,2017-12-27,true,"","","",""
3 m run,2017-12-28,true,"","","",""
Rest,2017-12-29,true,"","","",""
12,2017-12-30,true,"","","",""
Cross,2017-12-31,true,"","","",""
Rest,2018-01-01,true,"","","",""
3 m run,2018-01-02,true,"","","",""
6 m run,2018-01-03,true,"","","",""
3 m run,2018-01-04,true,"","","",""
Rest,2018-01-05,true,"","","",""
Rest,2018-01-06,true,"","","",""
Half Marathon,2018-01-07,true,"","","",""
Rest,2018-01-08,true,"","","",""
3 m run,2018-01-09,true,"","","",""
7 m run,2018-01-10,true,"","","",""
4 m run,2018-01-11,true,"","","",""
Rest,2018-01-12,true,"","","",""
10,2018-01-13,true,"","","",""
Cross,2018-01-14,true,"","","",""
Rest,2018-01-15,true,"","","",""
3 m run,2018-01-16,true,"","","",""
7 m run,2018-01-17,true,"","","",""
4 m run,2018-01-18,true,"","","",""
Rest,2018-01-19,true,"","","",""
15,2018-01-20,true,"","","",""
Cross,2018-01-21,true,"","","",""
Rest,2018-01-22,true,"","","",""
4 m run,2018-01-23,true,"","","",""
8 m run,2018-01-24,true,"","","",""
4 m run,2018-01-25,true,"","","",""
Rest,2018-01-26,true,"","","",""
16,2018-01-27,true,"","","",""
Cross,2018-01-28,true,"","","",""
Rest,2018-01-29,true,"","","",""
4 m run,2018-01-30,true,"","","",""
8 m run,2018-01-31,true,"","","",""
5 m run,2018-02-01,true,"","","",""
Rest,2018-02-02,true,"","","",""
12,2018-02-03,true,"","","",""
Cross,2018-02-04,true,"","","",""
Rest,2018-02-05,true,"","","",""
4 m run,2018-02-06,true,"","","",""
9 m run,2018-02-07,true,"","","",""
5 m run,2018-02-08,true,"","","",""
Rest,2018-02-09,true,"","","",""
18,2018-02-10,true,"","","",""
Cross,2018-02-11,true,"","","",""
Rest,2018-02-12,true,"","","",""
5 m run,2018-02-13,true,"","","",""
9 m run,2018-02-14,true,"","","",""
5 m run,2018-02-15,true,"","","",""
Rest,2018-02-16,true,"","","",""
14,2018-02-17,true,"","","",""
Cross,2018-02-18,true,"","","",""
Rest,2018-02-19,true,"","","",""
5 m run,2018-02-20,true,"","","",""
10 m run,2018-02-21,true,"","","",""
5 m run,2018-02-22,true,"","","",""
Rest,2018-02-23,true,"","","",""
20,2018-02-24,true,"","","",""
Cross,2018-02-25,true,"","","",""
Rest,2018-02-26,true,"","","",""
5 m run,2018-02-27,true,"","","",""
8 m run,2018-02-28,true,"","","",""
4 m run,2018-03-01,true,"","","",""
Rest,2018-03-02,true,"","","",""
12,2018-03-03,true,"","","",""
Cross,2018-03-04,true,"","","",""
Rest,2018-03-05,true,"","","",""
4 m run,2018-03-06,true,"","","",""
6 m run,2018-03-07,true,"","","",""
3 m run,2018-03-08,true,"","","",""
Rest,2018-03-09,true,"","","",""
8,2018-03-10,true,"","","",""
Cross,2018-03-11,true,"","","",""
Rest,2018-03-12,true,"","","",""
3 m run,2018-03-13,true,"","","",""
4 m run,2018-03-14,true,"","","",""
2 m run,2018-03-15,true,"","","",""
Rest,2018-03-16,true,"","","",""
Rest,2018-03-17,true,"","","",""
Marathon,2018-03-18,true,"","","",""
